Cottage Grove Supercenter,https://www.walmart.com/store/2448/cottage-grove-mn/details,9300 East Point Douglas Rd S,Cottage Grove,MN,55016,US,651-846-2831,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",44.810716,-92.918766,,,,,
Woodbury Supercenter,https://www.walmart.com/store/2643/woodbury-mn/details,10240 Hudson Rd,Woodbury,MN,55129,US,651-735-5181,,,,,,,"monday - friday : 06:00-23:00, saturday : 06:00-23:00, sunday : 06:00-23:00",44.946338,-92.896855,,,,,
Apple Valley Supercenter,https://www.walmart.com/store/2642/apple-valley-mn/details,7835 150th St W,Apple Valley,MN,55124,US,952-431-9700,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",44.734376,-93.224698,,,,,
Rochester Supercenter,https://www.walmart.com/store/2812/rochester-mn/details,25 25th St Se,Rochester,MN,55904,US,507-292-0909,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",43.986706,-92.459468,,,,,
Worthington Supercenter,https://www.walmart.com/store/2820/worthington-mn/details,1055 Ryans Rd,Worthington,MN,56187,US,507-376-6446,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",43.636684,-95.601827,,,,,
Maple Grove Supercenter,https://www.walmart.com/store/2882/maple-grove-mn/details,9451 Dunkirk Ln N,Maple Grove,MN,55311,US,763-420-3500,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",45.126054,-93.494365,,,,,
Hibbing Supercenter,https://www.walmart.com/store/2937/hibbing-mn/details,12080 Highway 169 W,Hibbing,MN,55746,US,218-262-2351,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",47.397667,-92.960236,,,,,
Detroit Lakes Supercenter,https://www.walmart.com/store/2957/detroit-lakes-mn/details,1583 Highway 10 W,Detroit Lakes,MN,56501,US,218-847-1126,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",46.825569,-95.877746,,,,,
St Cloud Supercenter,https://www.walmart.com/store/3088/st-cloud-mn/details,3601 2nd St South,St Cloud,MN,56301,US,320-345-9810,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",45.550514,-94.202169,,,,,
Princeton Supercenter,https://www.walmart.com/store/3102/princeton-mn/details,300 21st Ave N,Princeton,MN,55371,US,763-389-7821,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",45.572118,-93.60227,,,,,
